,loss
0,7.083904881840023e-05
1,6.948756415771256e-05
2,6.841058667652864e-05
3,6.735708008515454e-05
4,6.633332855202072e-05
5,6.53391073424652e-05
6,6.43727024212942e-05
7,6.343247740937286e-05
8,6.251739089829636e-05
9,6.162658885996945e-05
10,6.07590890585999e-05
11,5.99141098463428e-05
12,5.909075782285545e-05
13,5.8288312953752724e-05
14,5.750607613633729e-05
15,5.6743311314328715e-05
16,5.599928494401814e-05
17,5.5273424816444206e-05
18,5.456502921060007e-05
19,5.38735506705688e-05
20,5.319843429662604e-05
21,5.253925024826606e-05
22,5.1895271429579805e-05
23,5.126614023982079e-05
24,5.065135953587535e-05
